,barcode,catno,community,country,format,genre,id,label,resource_url,style,thumb,title,type,uri,year
28,[],FT112,"{'have': 8, 'want': 5}",US,['Cassette'],['Jazz'],1557315,['Fag Tapes'],https://api.discogs.com/releases/1557315,"['Abstract', 'Noise', 'Free Improvisation']",https://api-img.discogs.com/9NmotA6-lI4vGwE5gDgpxnLwoeA=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1557315-1386289230-4691.jpeg.jpg,Slither (2) - Dishearten Disenthrall,release,/Slither-Dishearten-Disenthrall/release/1557315,2007
29,[],T 487,"{'have': 10, 'want': 0}",US,"['Vinyl', 'LP', 'Album', 'Mono']",['Jazz'],682826,"['Capitol Records', 'Capitol Records']",https://api.discogs.com/masters/682826,"['Big Band', 'Swing', 'Easy Listening']",https://api-img.discogs.com/WxS9aL-YBu8o5HWSQbMq8xXZfFc=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5377747-1391889730-8433.jpeg.jpg,Billy May & His Orchestra* - Billy May's Naughty Operetta!,master,/Billy-May-His-Orchestra-Billy-Mays-Naughty-Operetta/master/682826,
30,"['SACEM SDRM SACD SGDL', 'WE 341']",50 485,"{'have': 22, 'want': 2}",France,"['Vinyl', 'LP', 'Compilation']",['Jazz'],1560313,"['Atlantic', 'Atlantic', 'Nemperor Records', 'WEA Filipacchi Music']",https://api.discogs.com/releases/1560313,"['Jazz-Rock', 'Jazz-Funk']",https://api-img.discogs.com/iLNF0LS6JOWPowyzfyZnd1jFnEg=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1560313-1301166056.jpeg.jpg,Stanley Clarke - Best Of,release,/Stanley-Clarke-Best-Of/release/1560313,1978
31,[],PR 7083,"{'have': 17, 'want': 19}",US,"['Vinyl', 'LP', 'Album', 'Mono', 'Reissue']",['Jazz'],1560421,"['Prestige', 'Prestige', 'Prestige Records Inc.']",https://api.discogs.com/releases/1560421,"['Bop', 'Soul-Jazz']",https://api-img.discogs.com/XQ4awi8s4gaU8FUvOtTl4P3_APQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1560421-1228446542.jpeg.jpg,Gene Ammons - Funky,release,/Gene-Ammons-Funky/release/1560421,1958
32,[],429 471 BE,"{'have': 5, 'want': 9}",Netherlands,"['Vinyl', '7""', 'EP', '45 RPM']",['Jazz'],673628,"['Philips', 'Calling All Dancers!']",https://api.discogs.com/masters/673628,['Swing'],,Ray Conniff And His Orchestra & Chorus - Jive,master,/Ray-Conniff-And-His-Orchestra-Chorus-Jive/master/673628,1959
33,['7 2438-57097-2 2'],CDP 7243 8 57097 2 2,"{'have': 7, 'want': 2}",US,"['CD', 'Album']",['Jazz'],673642,['Capitol Records'],https://api.discogs.com/masters/673642,['Smooth Jazz'],https://api-img.discogs.com/a2oruV77VhyLk5Gc7ZMR4mD8ZN4=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3026624-1341316810-8702.jpeg.jpg,Dave Koz - December Makes Me Feel This Way - A Holiday Album,master,/Dave-Koz-December-Makes-Me-Feel-This-Way-A-Holiday-Album/master/673642,1997
34,[],NQ 3413,"{'have': 11, 'want': 6}",France,"['Vinyl', 'LP', 'Album']",['Jazz'],674133,"['Nilva Records', 'Minot Sound']",https://api.discogs.com/masters/674133,['Contemporary Jazz'],https://api-img.discogs.com/NmvZzS2neV9sHb7pJMH-7npRQSQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-3505520-1333113420.jpeg.jpg,Alvin Queen - Jammin' Uptown,master,/Alvin-Queen-Jammin-Uptown/master/674133,1985
35,[],SL-1002,"{'have': 2, 'want': 0}",US,"['CD', 'Album']",['Jazz'],1549228,['Skylight Music'],https://api.discogs.com/releases/1549228,"['Smooth Jazz', 'Contemporary Jazz']",https://api-img.discogs.com/Fw8uehDgu_FivdRY3Hy9MywgjnQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-1549228-1227637893.jpeg.jpg,Brian Kelly (5) - Afterplay,release,/Brian-Kelly-Afterplay/release/1549228,2008
36,[],SVLP 9114,"{'have': 6, 'want': 7}",UK,"['Vinyl', 'LP']",['Jazz'],686246,['Verve Records'],https://api.discogs.com/masters/686246,[],https://api-img.discogs.com/5YLB8eWCinma_VrNCZxQ2F-JOtQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-2994975-1310907339.jpeg.jpg,"Oscar Peterson Trio, The - The Oscar Peterson Trio Swing The Great Standards",master,/Oscar-Peterson-Trio-The-Oscar-Peterson-Trio-Swing-The-Great-Standards/master/686246,1965
37,"['ncb', 'SNTF - 902 - A', 'SNTF - 902 - B']",SNTF-902,"{'have': 11, 'want': 0}",UK,"['Vinyl', 'LP', 'Album']",['Jazz'],684613,"['Sonet', 'Studio 39', 'Studio Maraval']",https://api.discogs.com/masters/684613,[],https://api-img.discogs.com/ulcUBvpMJrthQh5HpUTHfxngadE=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-5667286-1399396486-8051.jpeg.jpg,Svend Asmussen Featuring Ulf Wakenius - String Swing,master,/Svend-Asmussen-Featuring-Ulf-Wakenius-String-Swing/master/684613,1983
38,[],LPM-1137,"{'have': 10, 'want': 3}",US,"['Vinyl', 'LP']",['Jazz'],684707,['RCA Victor'],https://api.discogs.com/masters/684707,[],https://api-img.discogs.com/UZxoT9OJbA5dZ3PO386qH5hPuFg=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb()/discogs-images/R-4789194-1375581264-7873.jpeg.jpg,Barbara Carroll Trio - Have You Met Miss Carroll?,master,/Barbara-Carroll-Trio-Have-You-Met-Miss-Carroll/master/684707,1956
